SCAN,FILE,SITELONG_DEG,SITELAT_DEG,SITEALT_M,OPERATOR,OBSID,PROJID,DAY,SCANNUM,OBJECT,RA_DEG,DEC_DEG,AZ_DEG,EL_DEG,PARANGLE_DEG,MJD,DATE,LST_SEC,EXPTIME,N_OBS,N_OBSP,OBSTYPE,SYSOFF,NASX_ARCSEC,NASY_ARCSEC,XOFFSET_ARCSEC,YOFFSET_ARCSEC,SWITCHMODE,FOCUSX_MM,FOCUSY_MM,FOCUSZ_MM,PRESSURE_HPA,TAMBIENT_C,REL_HUMIDITY_PERCENT,WINDVEL_MPERS,TIPTAU225GHZ,TAU1MM,TAU2MM,POWLAWAMP1MM,POWLAWAMP2MM,POWLAWEXPO1MM,POWLAWEXPO2MM,SKYNOI1MM0,SKYNOI1MM1,SKYNOI1MM2,SKYNOI1MM3,SKYNOI1MM4,SKYNOI1MM5,SKYNOI1MM6,SKYNOI1MM7,SKYNOI2MM0,SKYNOI2MM1,SKYNOI2MM2,SKYNOI2MM3,SKYNOI2MM4,SKYNOI2MM5,SKYNOI2MM6,SKYNOI2MM7,NEFD_TOI1MM,NEFD_MAP1MM,NEFD_TOI2MM,NEFD_MAP2MM,FLUX_1MM,ERR_FLUX_1MM,OFFSET_X_1MM,OFFSET_Y_1MM,FLUX_2MM,ERR_FLUX_2MM,OFFSET_X_2MM,OFFSET_Y_2MM,PIPELINEVERSION,DECORMETHOD,
20140220s0156,iram30m-antenna-20140220s156-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,118-13  ,20140220,     156,1908-202,       287.79022,      -20.115275,       176.41249,       32.740537,       33.936507,       56708.383,2014-02-20T09:11:53.625,       68353.197,      98.0000,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -1.30000,     -1.60000,totalPower,      0.00000,      0.00000,     -1.80000,      724.200,    -0.400000,      10.2000,      3.70000,     0.240030,     0.300725,       0,      1.09540,     0.320261,     -1.13031,     -1.13414,      0.00000,      0.00000,      12.5278,      7.49249,      6.52511,      1.33422,     0.771592,     0.486061,      0.00000,      0.00000,      3.75600,      2.19851,      1.88591,     0.399867,     0.228345,     0.143795,      46.8146,      75.2654,      23.0524,      98.2443,      549.347,      9.29744,      0.00000,      0.00000,      749.411,      6.63006,      0.00000,      0.00000,V1Liss0,LISSOPT,
20140219s0177,iram30m-antenna-20140219s177-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,118-13  ,20140219,     177,Pluto,       283.67729,      -20.138082,      -159.59330,       30.150607,      -62.671056,       56707.435,2014-02-19T10:26:00.500,       72575.699,      307.125,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,      0.00000,     -2.00000,totalPower,      0.00000,      0.00000,     -1.20000,      719.800,     -5.70000,      49.7000,      2.10000,     0.100314,     0.163208,       0,     0.140838,    0.0453915,     -1.13426,     -1.13051,      0.00000,      1.95850,      3.59788,      1.81802,      1.01028,    0.0948061,    0.0679858,    0.0554511,      0.00000,     0.664400,      1.19380,     0.577988,     0.185232,    0.0430329,    0.0251622,    0.0174876,      28.2781,      51.5652,      14.8161,      18.8588,      15.4765,      1.17081,      0.00000,      0.00000,      5.20955,     0.234937,      0.00000,      0.00000,V1Liss1,LISSOPT,
20140219s0193,iram30m-antenna-20140219s193-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,118-13  ,20140219,     193,Uranus,       9.6521548,       3.4420482,       119.13288,       37.606300,       71.042049,       56707.499,2014-02-19T11:59:07.375,       78177.871,      307.125,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     0.800000,     -6.30000,totalPower,      0.00000,      0.00000,     -1.20000,      720.000,     -4.80000,      38.0000,      2.20000,     0.161550,     0.169345,       0,     0.242062,    0.0673788,     -1.09619,     -1.09309,      0.00000,      1.89775,      4.68203,      3.42161,     0.881875,     0.248388,     0.130328,    0.0748798,      0.00000,     0.509438,      1.29670,     0.944271,     0.245940,    0.0700425,    0.0338981,    0.0208105,      203.994,      5117.66,      196.827,      3541.80,      2725.59,      14.2549,      0.00000,      0.00000,      1783.48,      7.32707,      0.00000,      0.00000,V1Liss2,LISSOPT,
20140223s0260,iram30m-antenna-20140223s260-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,151-13  ,20140223,     260,0552+398,       88.878087,       39.813646,       56.944548,       23.631522,       42.604245,       56711.585,2014-02-23T14:02:19.500,       136.44147,      67.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -5.90000,     -5.50000,totalPower,      0.00000,      0.00000,     -2.30000,      719.100,      1.40000,      19.0000,      9.40000,    0.0644320,     0.108438,       0,     0.275740,    0.0805516,    -0.962651,    -0.962131,      0.00000,      0.00000,      0.00000,      1.20028,      1.18508,     0.356183,     0.202660,     0.131147,      0.00000,      0.00000,      0.00000,     0.348401,     0.347697,     0.102649,    0.0593315,    0.0382542,      23.9497,      44.2621,      17.9009,      78.0471,      468.203,      10.3616,      0.00000,      0.00000,      704.686,      10.7492,      0.00000,      0.00000,V1Liss4,LISSOPT,
20140223s0262,iram30m-antenna-20140223s262-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,151-13  ,20140223,     262,L1544,       76.063958,       25.185278,       78.863489,       28.827298,       52.431323,       56711.596,2014-02-23T14:17:44.625,       1064.0994,      308.125,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -4.20000,     -3.40000,totalPower,      0.00000,      0.00000,     -2.30000,      719.100,      1.00000,      17.1000,      6.50000,   0.00545100,     0.106854,       0,     0.207371,    0.0554424,     -1.15944,     -1.15708,      0.00000,      5.44507,      4.47064,      1.61819,     0.739308,     0.318399,     0.169466,     0.107325,      0.00000,      1.44552,      1.17589,     0.417048,     0.199757,    0.0857198,    0.0453471,    0.0292657,      25.1327,      32.6147,      12.7670,      14.1823,      67.7162,      1.67529,      0.00000,      0.00000,      23.0290,     0.428905,      0.00000,      0.00000,V1Liss7,LISSOPT,
20140219s0233,iram30m-antenna-20140219s233-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,173-13  ,20140219,     233,0336-019,       54.878890,      -1.7765986,       119.75799,       30.893486,       65.709613,       56707.613,2014-02-19T14:43:19.500,       1656.9700,      97.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     0.600000,     -6.40000,totalPower,      0.00000,      0.00000,     -1.20000,      719.700,     -4.70000,      28.1000,      1.60000,     0.212348,     0.190787,       0,     0.447661,     0.133041,     -1.32768,     -1.32431,      0.00000,      0.00000,      18.1886,      4.80705,      1.82452,     0.849296,     0.441490,     0.283967,      0.00000,      0.00000,      5.40979,      1.40173,     0.529869,     0.250392,     0.131324,    0.0831151,      27.8350,      96.5010,      31.1872,      240.954,      979.952,      6.44801,      0.00000,      0.00000,      1800.34,      9.83327,      0.00000,      0.00000,V1Liss0,LISSOPT,
20140219s0250,iram30m-antenna-20140219s250-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,173-13  ,20140219,     250,0420-014,       65.815816,      -1.3425344,       136.62254,       42.312460,       84.362950,       56707.693,2014-02-19T16:37:22.000,       8518.2042,      79.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -1.00000,     -4.40000,totalPower,      0.00000,      0.00000,     -1.20000,      719.700,     -4.70000,      28.1000,      1.60000,     0.138259,     0.173515,       0,     0.341834,    0.0910252,    -0.978266,    -0.981875,      0.00000,      0.00000,      1.22108,      2.46377,      1.20387,     0.460694,     0.240053,     0.154167,      0.00000,      0.00000,     0.329493,     0.669485,     0.332140,     0.118463,    0.0636570,    0.0405031,      22.6395,      71.5565,      32.3234,      226.389,      275.781,      4.35345,      0.00000,      0.00000,      150.543,      3.74406,      0.00000,      0.00000,V1Liss1,LISSOPT,
20140219s0234,iram30m-antenna-20140219s234-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,173-13  ,20140219,     234,Epsi_Eri,       53.228750,      -9.4580556,       128.65983,       27.525553,       64.085622,       56707.619,2014-02-19T14:50:49.500,       2108.2021,      307.125,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -2.20000,     -2.30000,totalPower,      0.00000,      0.00000,     -1.20000,      719.700,     -4.70000,      28.1000,      1.60000,     0.138316,     0.173021,       0,      1.08910,     0.305436,     -1.10271,     -1.10279,      0.00000,      26.3247,      12.1198,      7.98385,      3.58394,      1.81578,     0.961028,     0.598412,      0.00000,      7.37907,      3.42560,      2.22515,      1.00146,     0.510390,     0.269039,     0.167825,      38.9090,      55.0206,      16.3350,      19.1871,      3.98263,     0.844387,      0.00000,      0.00000,      1.52781,     0.208952,      0.00000,      0.00000,V1Liss3,LISSOPT,
20140225s0232,iram30m-antenna-20140225s232-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,174-13  ,20140225,     232,0605-085,       91.998717,      -8.5805522,      -141.05124,       35.853097,      -76.165818,       56713.919,2014-02-25T22:03:38.000,       29567.124,      67.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -13.3000,      3.10000,totalPower,      0.00000,      0.00000,     -1.50000,      723.800,     -5.60000,      44.8000,      3.30000,     0.243495,     0.185954,       0,     0.440741,     0.129024,     -1.09683,     -1.09521,      0.00000,      0.00000,      0.00000,      3.76332,      1.31088,     0.668301,     0.383178,     0.237450,      0.00000,      0.00000,      0.00000,      1.08370,     0.385377,     0.199257,     0.111197,    0.0693185,      25.6835,      88.2110,      32.2301,      213.739,      1197.79,      20.7294,      0.00000,      0.00000,      2137.38,      29.9701,      0.00000,      0.00000,V1Liss0,LISSOPT,
20140225s0219,iram30m-antenna-20140225s219-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,174-13  ,20140225,     219,HD48370,       100.75417,      -2.8886111,      -170.35212,       49.625136,      -147.65607,       56713.875,2014-02-25T20:59:41.875,       25720.496,      308.125,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -13.3000,      3.10000,totalPower,      0.00000,      0.00000,     -1.50000,      723.400,     -4.80000,      45.6000,      5.10000,     0.325304,     0.295190,       0,     0.191509,    0.0565866,     -1.24419,     -1.16017,      0.00000,      12.8219,      2.77685,      1.90819,      3.96543,     0.205404,    0.0727445,    0.0531043,      0.00000,      2.37283,     0.555220,     0.455431,      1.07486,    0.0653891,    0.0236008,    0.0149968,      30.8139,      40.9393,      13.2835,      15.4947,      7.27980,     0.988861,      0.00000,      0.00000,      1.98436,     0.270147,      0.00000,      0.00000,V1Liss1,LISSOPT,
20140221s0111,iram30m-antenna-20140221s111-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,193-13  ,20140221,     111,NGC1569,       67.710417,       64.848611,       32.016591,       39.094341,       25.294816,       56709.568,2014-02-21T13:37:50.500,       84590.311,      308.125,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -2.80000,     -3.00000,totalPower,      0.00000,      0.00000,     -1.50000,      720.200,     -4.00000,      55.1000,      1.00000,    0.0465390,     0.166272,       0,     0.320685,     0.123159,     -1.11527,     -1.09999,      0.00000,      2.79594,      6.23697,      4.02084,      1.86202,     0.517055,     0.119539,    0.0762870,      0.00000,     0.788619,      2.27521,      1.52858,     0.773999,     0.209120,    0.0424101,    0.0251684,      25.6866,      32.3338,      14.5565,      16.8578,      24.1259,      1.10606,      0.00000,      0.00000,      18.2182,     0.304433,      0.00000,      0.00000,V1Liss2,LISSOPT,
20140226s0342,iram30m-antenna-20140226s342-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,226-13  ,20140226,     342,GRB,       221.49171,       14.993167,       80.977848,       13.012319,       52.009352,       56714.954,2014-02-26T22:54:07.875,       32841.852,      308.125,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -7.50000,     -1.50000,totalPower,      0.00000,      0.00000,     -1.70000,      725.100,     -5.20000,      18.0000,      3.10000,     0.175268,     0.247446,       0,     0.242766,    0.0970791,     -1.17755,     -1.18749,      0.00000,      5.96988,      8.11126,      2.19311,     0.989899,     0.302878,     0.137516,    0.0915245,      0.00000,      2.43936,      3.40469,     0.884396,     0.409410,     0.122086,    0.0519678,    0.0324951,      161.922,      251.374,      34.1893,      46.8614,    -0.770524,     0.746641,      0.00000,      0.00000,    -0.421981,     0.205834,      0.00000,      0.00000,V1Liss3,LISSOPT,
20140225s0077,iram30m-antenna-20140225s77-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,230-13  ,20140225,      77,J1258+1657,       194.58017,       16.954894,      -111.88126,       51.885003,      -79.508056,       56713.222,2014-02-25T05:19:45.125,       55569.337,      307.125,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -5.50000,      1.90000,totalPower,      0.00000,      0.00000,     -1.76000,      719.000,     -8.80000,      100.000,      4.40000,     0.218849,     0.321893,       0,     0.120550,    0.0332624,     -1.25176,     -1.25274,      0.00000,      5.83889,      4.33245,      1.71463,     0.726898,     0.173942,    0.0614931,    0.0478289,      0.00000,      1.60945,      1.20766,     0.472903,     0.211219,    0.0496131,    0.0163655,    0.0123475,      25.9723,      29.8911,      13.7789,      16.2744,     0.536207,      1.24954,      0.00000,      0.00000,     0.466025,     0.331773,      0.00000,      0.00000,V1Liss2,LISSOPT,
20140225s0089,iram30m-antenna-20140225s89-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,230-13  ,20140225,      89,J1304+2001,       196.18158,       20.017839,      -94.826378,       40.611953,      -62.543263,       56713.273,2014-02-25T06:33:14.500,       59990.784,      307.000,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -1.60000,     -4.40000,totalPower,      0.00000,      0.00000,     -1.76000,      719.800,     -8.00000,      99.7000,      3.20000,     0.353901,     0.478909,       0,     0.133432,    0.0365441,     -1.10768,     -1.12223,      0.00000,     0.799654,      3.21058,      1.87033,     0.613467,     0.116087,    0.0615197,    0.0505229,      0.00000,     0.218672,     0.943001,     0.548002,     0.183513,    0.0323329,    0.0150428,    0.0119426,      37.8674,      45.1029,      16.2439,      18.5518,      4.49207,      3.33085,      0.00000,      0.00000,    -0.991014,     0.692641,      0.00000,      0.00000,V1Liss3,LISSOPT,
20140225s0097,iram30m-antenna-20140225s97-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,230-13  ,20140225,      97,J1515+1511,       228.91079,       15.193300,      -120.79786,       55.181113,      -89.347653,       56713.300,2014-02-25T07:11:47.000,       62309.616,      307.125,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -1.80000,     -2.90000,totalPower,      0.00000,      0.00000,     -1.76000,      720.200,     -7.90000,      94.1000,      1.60000,     0.500307,     0.428218,       0,     0.123117,    0.0332363,     -1.11796,     -1.13317,      0.00000,      1.51295,      2.79822,      1.50074,     0.774241,     0.145050,    0.0387281,    0.0393096,      0.00000,     0.437187,     0.799632,     0.430603,     0.223072,    0.0403221,   0.00903617,   0.00914025,      34.8977,      42.4612,      15.0484,      17.8265,   -0.0588577,      2.08912,      0.00000,      0.00000,    -0.463892,     0.506257,      0.00000,      0.00000,V1Liss4,LISSOPT,
20140225s0105,iram30m-antenna-20140225s105-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,230-13  ,20140225,     105,K3-50A,       300.44041,       33.545422,       89.079615,       65.382835,       71.783233,       56713.330,2014-02-25T07:55:37.875,       64947.694,      68.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -1.80000,     -2.90000,totalPower,      0.00000,      0.00000,     -1.76000,      720.500,     -6.60000,      58.0000,      3.80000,     0.454395,     0.457101,       0,     0.212617,    0.0618903,     -1.05577,     -1.04810,      0.00000,      0.00000,      0.00000,     0.875630,     0.821062,     0.321041,     0.178846,     0.117071,      0.00000,      0.00000,      0.00000,     0.243391,     0.232263,    0.0953059,    0.0529539,    0.0339844,      70.5317,      448.148,      77.8014,      524.688,      3479.02,      27.6807,      0.00000,      0.00000,      3177.83,      21.3175,      0.00000,      0.00000,V1Liss5,LISSOPT,
20140219s0335,iram30m-antenna-20140219s335-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,231-13  ,20140219,     335,H0844-00,       131.05192,     -0.61477778,      -172.17440,       52.019376,      -156.86766,       56707.971,2014-02-19T23:18:26.375,       32648.465,      308.125,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -5.90000,     -5.60000,totalPower,      0.00000,      0.00000,     -1.58000,      722.900,     -3.20000,      27.0000,      4.30000,    0.0879720,     0.150577,       0,     0.253775,    0.0699506,     -1.06954,     -1.07652,      0.00000,      3.62293,      3.89690,      1.99369,      1.13594,     0.306246,     0.163912,     0.106439,      0.00000,      1.02758,      1.11084,     0.562219,     0.321965,    0.0831531,    0.0446748,    0.0288642,      17.6139,      23.2797,      11.1902,      13.2576,      3.01669,     0.811593,      0.00000,      0.00000,  0.000632603,     0.285192,      0.00000,      0.00000,V1Liss3,LISSOPT,
20140219s0330,iram30m-antenna-20140219s330-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,231-13  ,20140219,     330,H0902-01,       135.59563,      -1.2085833,       169.81070,       51.227426,       149.08041,       56707.953,2014-02-19T22:51:59.000,       31056.744,      307.000,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -5.90000,     -5.60000,totalPower,      0.00000,      0.00000,     -1.58000,      722.600,     -3.70000,      35.3000,      4.40000,    0.0523150,     0.146566,       0,    0.0822150,    0.0246344,     -1.09492,     -1.09744,      0.00000,     0.690502,      1.52072,     0.989377,     0.456690,    0.0725516,    0.0348329,    0.0332415,      0.00000,     0.210146,     0.457713,     0.299120,     0.143823,    0.0217852,   0.00980798,   0.00973015,      18.7127,      23.9969,      11.0464,      13.1118,      2.60498,     0.758998,      0.00000,      0.00000,     0.485351,     0.267514,      0.00000,      0.00000,V1Liss4,LISSOPT,
